# synthetic IR spectrum (sum of Lorentzians); NOT measured data
# bands: 3350:O-H stretch (broad, H-bonded); 2950:C-H stretch; 1714:C=O stretch (carbonyl, ~1715); 1450:CH2/CH3 bend; 1250:C-O stretch; 1050:C-O / C-C skeletal
# wavenumber_cm-1,absorbance
400.0000,0.0220
402.0000,0.0220
404.0000,0.0220
406.0000,0.0220
408.0000,0.0220
410.0000,0.0221
412.0000,0.0221
414.0000,0.0221
416.0000,0.0221
418.0000,0.0221
420.0000,0.0221
422.0000,0.0221
424.0000,0.0221
426.0000,0.0221
428.0000,0.0221
430.0000,0.0221
432.0000,0.0221
434.0000,0.0222
436.0000,0.0222
438.0000,0.0222
440.0000,0.0222
442.0000,0.0222
444.0000,0.0222
446.0000,0.0222
448.0000,0.0222
450.0000,0.0222
452.0000,0.0222
454.0000,0.0222
456.0000,0.0223
458.0000,0.0223
460.0000,0.0223
462.0000,0.0223
464.0000,0.0223
466.0000,0.0223
468.0000,0.0223
470.0000,0.0223
472.0000,0.0223
474.0000,0.0223
476.0000,0.0224
478.0000,0.0224
480.0000,0.0224
482.0000,0.0224
484.0000,0.0224
486.0000,0.0224
488.0000,0.0224
490.0000,0.0224
492.0000,0.0224
494.0000,0.0225
496.0000,0.0225
498.0000,0.0225
500.0000,0.0225
502.0000,0.0225
504.0000,0.0225
506.0000,0.0225
508.0000,0.0225
510.0000,0.0225
512.0000,0.0226
514.0000,0.0226
516.0000,0.0226
518.0000,0.0226
520.0000,0.0226
522.0000,0.0226
524.0000,0.0226
526.0000,0.0226
528.0000,0.0227
530.0000,0.0227
532.0000,0.0227
534.0000,0.0227
536.0000,0.0227
538.0000,0.0227
540.0000,0.0227
542.0000,0.0228
544.0000,0.0228
546.0000,0.0228
548.0000,0.0228
550.0000,0.0228
552.0000,0.0228
554.0000,0.0228
556.0000,0.0229
558.0000,0.0229
560.0000,0.0229
562.0000,0.0229
564.0000,0.0229
566.0000,0.0229
568.0000,0.0229
570.0000,0.0230
572.0000,0.0230
574.0000,0.0230
576.0000,0.0230
578.0000,0.0230
580.0000,0.0230
582.0000,0.0231
584.0000,0.0231
586.0000,0.0231
588.0000,0.0231
590.0000,0.0231
592.0000,0.0232
594.0000,0.0232
596.0000,0.0232
598.0000,0.0232
600.0000,0.0232
602.0000,0.0232
604.0000,0.0233
606.0000,0.0233
608.0000,0.0233
610.0000,0.0233
612.0000,0.0233
614.0000,0.0234
616.0000,0.0234
618.0000,0.0234
620.0000,0.0234
622.0000,0.0234
624.0000,0.0235
626.0000,0.0235
628.0000,0.0235
630.0000,0.0235
632.0000,0.0236
634.0000,0.0236
636.0000,0.0236
638.0000,0.0236
640.0000,0.0237
642.0000,0.0237
644.0000,0.0237
646.0000,0.0237
648.0000,0.0237
650.0000,0.0238
652.0000,0.0238
654.0000,0.0238
656.0000,0.0239
658.0000,0.0239
660.0000,0.0239
662.0000,0.0239
664.0000,0.0240
666.0000,0.0240
668.0000,0.0240
670.0000,0.0240
672.0000,0.0241
674.0000,0.0241
676.0000,0.0241
678.0000,0.0242
680.0000,0.0242
682.0000,0.0242
684.0000,0.0243
686.0000,0.0243
688.0000,0.0243
690.0000,0.0244
692.0000,0.0244
694.0000,0.0244
696.0000,0.0245
698.0000,0.0245
700.0000,0.0245
702.0000,0.0246
704.0000,0.0246
706.0000,0.0246
708.0000,0.0247
710.0000,0.0247
712.0000,0.0248
714.0000,0.0248
716.0000,0.0248
718.0000,0.0249
720.0000,0.0249
722.0000,0.0250
724.0000,0.0250
726.0000,0.0250
728.0000,0.0251
730.0000,0.0251
732.0000,0.0252
734.0000,0.0252
736.0000,0.0253
738.0000,0.0253
740.0000,0.0254
742.0000,0.0254
744.0000,0.0255
746.0000,0.0255
748.0000,0.0256
750.0000,0.0256
752.0000,0.0257
754.0000,0.0257
756.0000,0.0258
758.0000,0.0259
760.0000,0.0259
762.0000,0.0260
764.0000,0.0260
766.0000,0.0261
768.0000,0.0262
770.0000,0.0262
772.0000,0.0263
774.0000,0.0264
776.0000,0.0264
778.0000,0.0265
780.0000,0.0266
782.0000,0.0266
784.0000,0.0267
786.0000,0.0268
788.0000,0.0269
790.0000,0.0269
792.0000,0.0270
794.0000,0.0271
796.0000,0.0272
798.0000,0.0273
800.0000,0.0273
802.0000,0.0274
804.0000,0.0275
806.0000,0.0276
808.0000,0.0277
810.0000,0.0278
812.0000,0.0279
814.0000,0.0280
816.0000,0.0281
818.0000,0.0282
820.0000,0.0283
822.0000,0.0284
824.0000,0.0286
826.0000,0.0287
828.0000,0.0288
830.0000,0.0289
832.0000,0.0290
834.0000,0.0292
836.0000,0.0293
838.0000,0.0294
840.0000,0.0296
842.0000,0.0297
844.0000,0.0299
846.0000,0.0300
848.0000,0.0302
850.0000,0.0303
852.0000,0.0305
854.0000,0.0306
856.0000,0.0308
858.0000,0.0310
860.0000,0.0312
862.0000,0.0314
864.0000,0.0316
866.0000,0.0318
868.0000,0.0320
870.0000,0.0322
872.0000,0.0324
874.0000,0.0326
876.0000,0.0328
878.0000,0.0331
880.0000,0.0333
882.0000,0.0336
884.0000,0.0339
886.0000,0.0341
888.0000,0.0344
890.0000,0.0347
892.0000,0.0350
894.0000,0.0353
896.0000,0.0356
898.0000,0.0360
900.0000,0.0363
902.0000,0.0367
904.0000,0.0371
906.0000,0.0375
908.0000,0.0379
910.0000,0.0383
912.0000,0.0387
914.0000,0.0392
916.0000,0.0397
918.0000,0.0402
920.0000,0.0407
922.0000,0.0412
924.0000,0.0418
926.0000,0.0424
928.0000,0.0430
930.0000,0.0436
932.0000,0.0443
934.0000,0.0450
936.0000,0.0458
938.0000,0.0465
940.0000,0.0474
942.0000,0.0482
944.0000,0.0491
946.0000,0.0501
948.0000,0.0511
950.0000,0.0522
952.0000,0.0533
954.0000,0.0545
956.0000,0.0557
958.0000,0.0571
960.0000,0.0585
962.0000,0.0600
964.0000,0.0616
966.0000,0.0633
968.0000,0.0651
970.0000,0.0671
972.0000,0.0691
974.0000,0.0713
976.0000,0.0737
978.0000,0.0763
980.0000,0.0790
982.0000,0.0820
984.0000,0.0852
986.0000,0.0887
988.0000,0.0924
990.0000,0.0965
992.0000,0.1009
994.0000,0.1057
996.0000,0.1109
998.0000,0.1167
1000.0000,0.1229
1002.0000,0.1298
1004.0000,0.1374
1006.0000,0.1458
1008.0000,0.1551
1010.0000,0.1653
1012.0000,0.1766
1014.0000,0.1892
1016.0000,0.2032
1018.0000,0.2188
1020.0000,0.2361
1022.0000,0.2554
1024.0000,0.2768
1026.0000,0.3005
1028.0000,0.3266
1030.0000,0.3552
1032.0000,0.3861
1034.0000,0.4192
1036.0000,0.4540
1038.0000,0.4894
1040.0000,0.5243
1042.0000,0.5571
1044.0000,0.5857
1046.0000,0.6082
1048.0000,0.6225
1050.0000,0.6276
1052.0000,0.6227
1054.0000,0.6086
1056.0000,0.5863
1058.0000,0.5579
1060.0000,0.5254
1062.0000,0.4906
1064.0000,0.4554
1066.0000,0.4209
1068.0000,0.3880
1070.0000,0.3572
1072.0000,0.3289
1074.0000,0.3030
1076.0000,0.2795
1078.0000,0.2583
1080.0000,0.2393
1082.0000,0.2222
1084.0000,0.2068
1086.0000,0.1931
1088.0000,0.1807
1090.0000,0.1696
1092.0000,0.1597
1094.0000,0.1507
1096.0000,0.1426
1098.0000,0.1352
1100.0000,0.1286
1102.0000,0.1226
1104.0000,0.1172
1106.0000,0.1122
1108.0000,0.1077
1110.0000,0.1036
1112.0000,0.0998
1114.0000,0.0964
1116.0000,0.0933
1118.0000,0.0905
1120.0000,0.0879
1122.0000,0.0855
1124.0000,0.0833
1126.0000,0.0813
1128.0000,0.0795
1130.0000,0.0779
1132.0000,0.0764
1134.0000,0.0750
1136.0000,0.0738
1138.0000,0.0727
1140.0000,0.0717
1142.0000,0.0709
1144.0000,0.0701
1146.0000,0.0694
1148.0000,0.0689
1150.0000,0.0684
1152.0000,0.0681
1154.0000,0.0678
1156.0000,0.0676
1158.0000,0.0675
1160.0000,0.0675
1162.0000,0.0676
1164.0000,0.0678
1166.0000,0.0681
1168.0000,0.0685
1170.0000,0.0689
1172.0000,0.0695
1174.0000,0.0702
1176.0000,0.0711
1178.0000,0.0720
1180.0000,0.0731
1182.0000,0.0743
1184.0000,0.0757
1186.0000,0.0773
1188.0000,0.0791
1190.0000,0.0810
1192.0000,0.0832
1194.0000,0.0857
1196.0000,0.0884
1198.0000,0.0914
1200.0000,0.0948
1202.0000,0.0985
1204.0000,0.1027
1206.0000,0.1074
1208.0000,0.1127
1210.0000,0.1185
1212.0000,0.1251
1214.0000,0.1325
1216.0000,0.1409
1218.0000,0.1503
1220.0000,0.1608
1222.0000,0.1728
1224.0000,0.1862
1226.0000,0.2014
1228.0000,0.2183
