mol_id,smiles,homo,lumo,gap,h298,gap_eV
gdb_9,CC#C,-0.2609,0.0613,0.3222,-116.604606,8.767508648457333
gdb_50,c1cc[nH]c1,-0.2029,0.0499,0.2528,-210.096872,6.879038442985767
gdb_52,c1ccoc1,-0.2246,0.0199,0.2445,-229.96447,6.653183937144066
gdb_205,c1c[nH]cc1N,-0.1741,0.0558,0.2299,-265.432015,6.255897697952641
gdb_208,c1c(nco1)N,-0.2057,0.0107,0.2164,-301.367967,5.888543983631803
gdb_238,C(C#N)C(=O)N,-0.2741,0.0051,0.2792,-301.387246,7.597419039879849
gdb_318,CC12CN(C1)C2,-0.2257,0.0834,0.3091,-250.472502,8.41103948863489
gdb_438,C1C=CCC1=O,-0.2409,-0.0164,0.2245,-269.257631,6.108956212224306
gdb_473,CC1C(C)C1C,-0.2571,0.0841,0.3412,-235.685652,9.284524987131105
gdb_531,COCCC#N,-0.2751,0.0324,0.3075,-286.487409,8.36750127064131
gdb_535,CCCNC=O,-0.2492,0.034,0.2832,-287.716377,7.706264584863802
gdb_579,C1CC1CC=O,-0.2458,-0.0201,0.2258,-270.420366,6.144331014344091
gdb_664,C1OC2COC12,-0.2484,0.0584,0.3068,-306.307396,8.348453300269119
gdb_808,CCC(=NO)CC,-0.2392,0.0153,0.2545,-326.939801,6.925297799603946
gdb_814,C1C=CCC1=NO,-0.2347,0.011,0.2457,-324.542789,6.6858376006392515
gdb_860,c1c(nc([nH]1)O)O,-0.1866,0.0565,0.2431,-376.606166,6.615087996399683
gdb_864,Cc1ccc(o1)N,-0.1764,0.0421,0.2186,-324.603773,5.948409033372976
gdb_1003,CN1C=COC1=N,-0.1889,0.0283,0.2172,-340.647291,5.910313092628593
gdb_1027,c1c([nH]cn1)C=O,-0.2497,-0.0566,0.193,-339.477342,5.251797545475684
gdb_1053,COc1ncco1,-0.2226,0.0234,0.246,-360.529922,6.694001016513048
gdb_1087,CC(C)(CC#N)O,-0.2844,0.026,0.3105,-325.79227,8.449135429379274
gdb_1141,CC1CC(C1)(C)C,-0.2778,0.0823,0.36,-274.981877,9.796099048555678
gdb_1206,CC(=N)OCC#N,-0.2876,-0.0022,0.2855,-340.639629,7.768850773229573
gdb_1260,CC(C)OC=NC,-0.2434,0.0303,0.2738,-326.973259,7.450477554151513
gdb_1519,CCNC(=O)NC,-0.2372,0.0669,0.3042,-343.068441,8.27770369602955
gdb_1597,NC(=O)C(O)C#C,-0.2601,0.0068,0.2669,-360.49719,7.262718989054197
gdb_1626,CC(C)C(O)C=O,-0.2706,-0.0384,0.2321,-346.860428,6.315762747693815
gdb_1739,C#CCC1(CC1)O,-0.2514,0.0428,0.2942,-308.459482,8.005589833569669
gdb_1792,CCC1(O)CC1C,-0.2483,0.0747,0.3231,-310.902597,8.791998896078722
gdb_1815,CC(C)(C)C1CO1,-0.2615,0.0811,0.3426,-310.897552,9.322620927875489
gdb_1873,CC1COC(=N)O1,-0.2522,0.0577,0.3099,-361.732685,8.43280859763168
gdb_1881,OC1CNC(=O)C1,-0.2388,0.0378,0.2766,-361.748061,7.526669435640281
gdb_1945,O=CC1CC(=O)N1,-0.2595,-0.0431,0.2164,-360.531379,5.888543983631803
gdb_2029,CN1CC2(C1)CN2,-0.2111,0.0771,0.2882,-305.830334,7.842321516093741
gdb_2146,OC1CC=CC1=O,-0.2473,-0.0559,0.1914,-344.477278,5.208259327482103
gdb_2176,CC1COCC1C,-0.2442,0.0755,0.3197,-310.921102,8.699480182842363
gdb_2186,CC1N(C)CC1=O,-0.2291,-0.0213,0.2078,-325.762931,5.6545260619163065
gdb_2224,CC1C2OCC12O,-0.2254,0.0633,0.2887,-345.593635,7.855927209216736
gdb_2273,C#CCC1COC1,-0.2477,0.0462,0.2939,-308.450752,7.9974264176958725
gdb_2445,C1C2CCCC1O2,-0.2356,0.0773,0.313,-309.705496,8.517163894994244
gdb_2458,O=C1OC2CC2O1,-0.2878,0.0351,0.3229,-380.408954,8.786556618829525
gdb_2461,CC1=CC2OC2C1,-0.2347,0.0075,0.2422,-308.505642,6.590597748778293
gdb_2472,OC1CC2OC2C1,-0.2452,0.0777,0.3229,-345.634882,8.786556618829525
gdb_2513,CNC(=NC)C=O,-0.2272,-0.0657,0.1615,-341.826098,4.394638878727062
gdb_2537,COC(CN)C#N,-0.2521,0.0163,0.2684,-341.816994,7.303536068423179
gdb_2578,CCC1(CO)CO1,-0.2577,0.0737,0.3314,-346.823493,9.017853401920423
gdb_2582,C1C(O1)(CO)CO,-0.2554,0.0582,0.3136,-382.747166,8.533490726741837
gdb_2721,CCCCCCO,-0.2613,0.0815,0.3428,-312.115851,9.328063205124685
gdb_2739,O=C1COC1C#N,-0.2904,-0.0656,0.2248,-359.297855,6.117119628098102
gdb_2753,CC1COC1C#C,-0.2527,0.0216,0.2743,-308.453985,7.464083247274508
gdb_2840,OCC1CC1C#N,-0.2777,0.021,0.2987,-324.565829,8.128041071676616
gdb_2884,N#CC1CNC=N1,-0.2474,0.0016,0.249,-319.567982,6.775635175251011
gdb_3153,O=C1OCC11CN1,-0.2739,-0.0074,0.2665,-360.496788,7.251834434555802
gdb_3196,C1OC2OC1C=C2,-0.2464,-0.0014,0.2451,-344.430834,6.669510768891659
gdb_3219,CC1C2OC2C1O,-0.2503,0.0766,0.3269,-345.605092,8.895402163813477
gdb_3345,C1CC2OC2CO1,-0.2517,0.0816,0.3333,-345.630892,9.069555035787799
gdb_3404,CC1C2CC(C)C12,-0.2466,0.0862,0.3328,-273.749359,9.055949342664805
gdb_3444,CC1CCC2OC12,-0.2549,0.0908,0.3457,-309.714068,9.40697622523805
gdb_3458,O=C1C2CC1OC2,-0.2288,-0.0207,0.2082,-344.428032,5.665410616414701
gdb_3466,OC1C2OC1C=C2,-0.2487,-0.0039,0.2448,-344.392656,6.661347353017862
gdb_3483,OC12C3C4C1N4C23,-0.2125,0.0603,0.2728,-323.229659,7.423266167905526
gdb_3606,OC1CC1N1CC1,-0.2279,0.0807,0.3086,-325.710205,8.397433795511896
gdb_3616,C1C2C3COC1C23,-0.2366,0.0927,0.3293,-308.480385,8.960709490803847
gdb_3747,Cc1ncn(n1)C,-0.2487,0.016,0.2646,-320.786447,7.200132800688425
gdb_3782,CNc1cnno1,-0.2211,-0.0114,0.2097,-356.661623,5.706227695783683
gdb_3787,CNc1[nH]ncn1,-0.2148,0.0364,0.2512,-336.829366,6.835500224992185
gdb_3832,N=C1C=NNN=C1,-0.2273,-0.0463,0.181,-335.584518,4.925260910523828
gdb_3875,c1cnnc(n1)N,-0.2271,-0.0603,0.1667,-335.629502,4.536138087206199
gdb_3963,C(c1nnon1)O,-0.3046,-0.0789,0.2257,-392.55828,6.1416098757194915
gdb_3965,c1coccc1=NO,-0.198,-0.0184,0.1797,-398.572225,4.889886108404044
gdb_4015,C[NH2+]CC(CO)=N[O-],-0.146,0.0102,0.1562,-418.128614,4.250418531623326
gdb_4030,CCC(=NO)C(C)C,-0.2402,0.0158,0.256,-366.22642,6.9661148789729275
gdb_4124,CC12NC1CC2=NO,-0.2271,0.0124,0.2395,-379.825309,6.5171270059141255
gdb_4162,OCC1NCC1=NO,-0.2403,-0.004,0.2363,-416.969607,6.430050569926965
gdb_4206,ON=C1C2C3CC1N23,-0.2319,0.0076,0.2396,-378.602271,6.519848144538725
gdb_4264,Cc1cc(=O)nco1,-0.2492,-0.0421,0.2071,-398.647935,5.6354780915441145
gdb_4378,c1c(ncnc1O)O,-0.2583,-0.0205,0.2378,-414.734251,6.470867649295946
gdb_4433,Cc1c([nH]c(=O)[nH]1)N,-0.1762,0.0529,0.2291,-396.032728,6.23412858895585
